"campaign_date","utm_source","utm_medium","utm_campaign","vk_costs"
"2023-06-01",vk,cpc,base-python,2537
"2023-06-01",vk,cpc,freemium-frontend,3160
"2023-06-01",vk,cpc,freemium-java,487
"2023-06-01",vk,cpc,freemium-python,980
"2023-06-01",vk,cpc,prof-data-analytics,1072
"2023-06-01",vk,cpc,prof-java,3115
"2023-06-01",vk,cpc,prof-python,2028
"2023-06-01",vk,cpm,prof-data-analytics,385
"2023-06-01",yandex,cpc,base-frontend,18061
"2023-06-01",yandex,cpc,base-java,19252
"2023-06-01",yandex,cpc,base-professions-retarget,151
"2023-06-01",yandex,cpc,base-python,12524
"2023-06-01",yandex,cpc,dod-frontend,2871
"2023-06-01",yandex,cpc,dod-java,2906
"2023-06-01",yandex,cpc,dod-php,5964
"2023-06-01",yandex,cpc,freemium,21654
"2023-06-01",yandex,cpc,prof-data-analytics,10086
"2023-06-01",yandex,cpc,prof-frontend,57138
"2023-06-01",yandex,cpc,prof-java,29490
"2023-06-01",yandex,cpc,prof-professions-brand,4818
"2023-06-01",yandex,cpc,prof-professions-retarget,1714
"2023-06-01",yandex,cpc,prof-python,33026
"2023-06-02",vk,cpc,base-python,2536
"2023-06-02",vk,cpc,freemium-frontend,2538
"2023-06-02",vk,cpc,freemium-java,2536
"2023-06-02",vk,cpc,freemium-python,1739
"2023-06-02",vk,cpc,prof-data-analytics,4060
"2023-06-02",vk,cpc,prof-java,2783
"2023-06-02",vk,cpc,prof-python,2032
"2023-06-02",yandex,cpc,base-frontend,15632
"2023-06-02",yandex,cpc,base-java,13812
"2023-06-02",yandex,cpc,base-professions-retarget,440
"2023-06-02",yandex,cpc,base-python,14608
"2023-06-02",yandex,cpc,dod-frontend,6501
"2023-06-02",yandex,cpc,dod-java,3331
"2023-06-02",yandex,cpc,dod-php,1271
"2023-06-02",yandex,cpc,freemium,16508
"2023-06-02",yandex,cpc,prof-data-analytics,14479
"2023-06-02",yandex,cpc,prof-frontend,68695
"2023-06-02",yandex,cpc,prof-java,43341
"2023-06-02",yandex,cpc,prof-professions-brand,3702
"2023-06-02",yandex,cpc,prof-professions-retarget,1577
"2023-06-02",yandex,cpc,prof-python,44561
"2023-06-03",vk,cpc,base-python,2997
"2023-06-03",vk,cpc,freemium-frontend,2539
"2023-06-03",vk,cpc,freemium-java,2656
"2023-06-03",vk,cpc,freemium-python,1390
"2023-06-03",vk,cpc,prof-data-analytics,3974
"2023-06-03",vk,cpc,prof-java,2774
"2023-06-03",vk,cpc,prof-python,2023
"2023-06-03",yandex,cpc,base-frontend,6904
"2023-06-03",yandex,cpc,base-java,14240
"2023-06-03",yandex,cpc,base-professions-retarget,754
"2023-06-03",yandex,cpc,base-python,15499
"2023-06-03",yandex,cpc,dod-frontend,4986
"2023-06-03",yandex,cpc,dod-java,3584
"2023-06-03",yandex,cpc,dod-php,4892
"2023-06-03",yandex,cpc,freemium,17950
"2023-06-03",yandex,cpc,prof-data-analytics,9133
"2023-06-03",yandex,cpc,prof-frontend,57022
"2023-06-03",yandex,cpc,prof-java,31060
"2023-06-03",yandex,cpc,prof-professions-brand,3412
"2023-06-03",yandex,cpc,prof-professions-retarget,1669
"2023-06-03",yandex,cpc,prof-python,50104
"2023-06-04",vk,cpc,base-python,2537
"2023-06-04",vk,cpc,freemium-frontend,2538
"2023-06-04",vk,cpc,freemium-java,1566
"2023-06-04",vk,cpc,freemium-python,1305
"2023-06-04",vk,cpc,prof-data-analytics,3740
"2023-06-04",vk,cpc,prof-java,1627
"2023-06-04",vk,cpc,prof-python,2032
"2023-06-04",vk,cpm,prof-data-analytics,701
"2023-06-04",yandex,cpc,base-frontend,14139
"2023-06-04",yandex,cpc,base-java,16819
"2023-06-04",yandex,cpc,base-professions-retarget,847
"2023-06-04",yandex,cpc,base-python,16365
"2023-06-04",yandex,cpc,dod-frontend,4218
"2023-06-04",yandex,cpc,dod-java,2108
"2023-06-04",yandex,cpc,dod-php,3688
"2023-06-04",yandex,cpc,freemium,14629
"2023-06-04",yandex,cpc,prof-data-analytics,12054
"2023-06-04",yandex,cpc,prof-frontend,46402
