"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
"2023-06-01",yandex,cpc,freemium,104,62721,104,25,1654810
"2023-06-01",yandex,cpc,prof-frontend,78,43758,78,12,1057000
"2023-06-01",yandex,cpc,prof-python,64,36994,64,7,613196
"2023-06-01",yandex,cpc,base-python,31,18654,31,7,476021
"2023-06-01",vk,cpc,prof-python,71,71622,40,5,355564
"2023-06-01",vk,cpc,freemium-frontend,81,41740,44,5,338083
"2023-06-01",yandex,cpc,prof-java,51,26608,51,4,284590
"2023-06-01",yandex,cpc,base-frontend,40,23421,40,3,268515
"2023-06-01",yandex,cpc,prof-professions-brand,13,6818,13,3,154287
"2023-06-01",yandex,cpc,prof-data-analytics,14,7711,14,2,220264
"2023-06-01",vk,cpc,prof-java,51,47299,23,2,232726
"2023-06-30",admitad,cpa,admitad,71,0,2,2,201150
"2023-06-01",yandex,cpc,base-java,20,12811,20,1,48000
"2023-06-01",vk,cpc,base-python,58,28646,36,1,9072
"2023-06-01",vk,cpc,freemium-python,45,17170,26,1,1560
