"visit_date","utm_source","utm_medium","utm_campaign","cppu"
"2023-06-01",yandex,cpc,base-java,19252.00
"2023-06-01",yandex,cpc,prof-java,7372.50
"2023-06-01",yandex,cpc,base-frontend,6020.33
"2023-06-01",yandex,cpc,dod-php,5964.00
"2023-06-01",yandex,cpc,prof-data-analytics,5043.00
"2023-06-01",yandex,cpc,prof-frontend,4761.50
"2023-06-01",yandex,cpc,prof-python,4718.00
"2023-06-01",vk,cpc,base-python,2537.00
"2023-06-01",yandex,cpc,base-python,1789.14
"2023-06-01",yandex,cpc,prof-professions-brand,1606.00
"2023-06-01",vk,cpc,prof-java,1557.50
"2023-06-01",vk,cpc,freemium-python,980.00
"2023-06-01",yandex,cpc,freemium,866.16
"2023-06-01",vk,cpc,freemium-frontend,632.00
"2023-06-01",vk,cpc,prof-python,405.60
"2023-06-01",yandex,cpc,base-professions-retarget,151.00
