"visit_date","utm_source","utm_medium","utm_campaign","cpu"
"2023-06-01",yandex,cpc,dod-php,1491.00
"2023-06-01",yandex,cpc,base-java,962.60
"2023-06-01",yandex,cpc,dod-frontend,957.00
"2023-06-01",yandex,cpc,prof-frontend,732.54
"2023-06-01",yandex,cpc,dod-java,726.50
"2023-06-01",yandex,cpc,prof-data-analytics,720.43
"2023-06-01",yandex,cpc,prof-java,601.84
"2023-06-01",yandex,cpc,prof-python,532.68
"2023-06-01",yandex,cpc,base-frontend,451.53
"2023-06-01",yandex,cpc,base-python,404.00
"2023-06-01",yandex,cpc,prof-professions-brand,370.62
"2023-06-01",yandex,cpc,freemium,210.23
"2023-06-01",yandex,cpc,prof-professions-retarget,171.40
"2023-06-01",vk,cpc,prof-java,61.08
"2023-06-01",vk,cpc,base-python,43.74
"2023-06-01",vk,cpc,freemium-frontend,39.50
"2023-06-01",vk,cpm,prof-data-analytics,38.50
"2023-06-01",yandex,cpc,base-professions-retarget,37.75
"2023-06-01",vk,cpc,prof-python,28.56
"2023-06-01",vk,cpc,freemium-python,22.27
"2023-06-01",vk,cpc,prof-data-analytics,21.88
"2023-06-01",vk,cpc,freemium-java,11.60
"2023-06-02",vk,cpc,prof-data-analytics,22.81
"2023-06-02",vk,cpc,base-python,19.07
"2023-06-02",vk,cpc,freemium-java,15.56
"2023-06-02",vk,cpc,prof-java,12.88
"2023-06-02",vk,cpc,freemium-frontend,12.26
"2023-06-02",vk,cpc,freemium-python,12.16
"2023-06-02",vk,cpc,prof-python,8.47
"2023-06-03",vk,cpc,base-python,29.67
"2023-06-03",vk,cpc,prof-data-analytics,23.10
"2023-06-03",vk,cpc,freemium-java,17.95
"2023-06-03",vk,cpc,prof-java,14.01
"2023-06-03",vk,cpc,freemium-frontend,12.03
"2023-06-03",vk,cpc,freemium-python,11.39
"2023-06-03",vk,cpc,prof-python,9.92
"2023-06-04",vk,cpm,prof-data-analytics,29.21
"2023-06-04",vk,cpc,prof-data-analytics,28.33
"2023-06-04",vk,cpc,base-python,17.50
"2023-06-04",vk,cpc,freemium-frontend,11.33
"2023-06-04",vk,cpc,freemium-java,10.44
"2023-06-04",vk,cpc,freemium-python,10.04
"2023-06-04",vk,cpc,prof-python,9.54
"2023-06-04",vk,cpc,prof-java,8.65
"2023-06-05",vk,cpm,prof-data-analytics,33.09
"2023-06-05",vk,cpc,prof-python,27.90
"2023-06-05",vk,cpc,prof-data-analytics,19.79
"2023-06-05",vk,cpc,base-python,15.97
"2023-06-05",vk,cpc,freemium-frontend,13.22
"2023-06-05",vk,cpc,prof-java,10.59
"2023-06-05",vk,cpc,freemium-python,8.10
"2023-06-05",vk,cpc,freemium-java,2.88
"2023-06-06",vk,cpm,prof-data-analytics,58.38
"2023-06-06",vk,cpc,prof-python,27.45
"2023-06-06",vk,cpc,base-python,27.28
"2023-06-06",vk,cpc,prof-data-analytics,22.55
"2023-06-06",vk,cpc,freemium-frontend,19.58
"2023-06-06",vk,cpc,freemium-python,17.83
"2023-06-06",vk,cpc,freemium-java,13.78
"2023-06-06",vk,cpc,prof-java,7.15
"2023-06-07",vk,cpm,prof-data-analytics,63.50
"2023-06-07",vk,cpc,prof-data-analytics,27.71
"2023-06-07",vk,cpc,prof-python,26.73
"2023-06-07",vk,cpc,freemium-python,26.27
"2023-06-07",vk,cpc,base-python,23.51
"2023-06-07",vk,cpc,freemium-java,22.41
"2023-06-07",vk,cpc,freemium-frontend,15.00
"2023-06-07",vk,cpc,prof-java,6.78
"2023-06-08",vk,cpm,prof-data-analytics,44.82
"2023-06-08",vk,cpc,prof-python,27.00
"2023-06-08",vk,cpc,freemium-python,23.44
"2023-06-08",vk,cpc,prof-data-analytics,22.32
"2023-06-08",vk,cpc,freemium-java,20.41
"2023-06-08",vk,cpc,freemium-frontend,13.34
"2023-06-08",vk,cpc,prof-java,9.27
"2023-06-08",vk,cpc,base-python,9.09
"2023-06-08",vk,cpc,prof-frontend,5.06
"2023-06-09",vk,cpc,prof-frontend,45.33
"2023-06-09",vk,cpc,prof-java,28.63
"2023-06-09",vk,cpc,prof-data-analytics,28.14
"2023-06-09",vk,cpc,prof-python,27.90
"2023-06-09",vk,cpc,freemium-java,23.45
"2023-06-09",vk,cpc,freemium-python,21.11
"2023-06-09",vk,cpc,freemium-frontend,14.00
"2023-06-09",vk,cpm,prof-data-analytics,5.82
"2023-06-10",vk,cpc,prof-frontend,56.85
"2023-06-10",vk,cpc,prof-python,33.48
"2023-06-10",vk,cpc,prof-data-analytics,32.46
"2023-06-10",vk,cpc,prof-java,24.95
"2023-06-10",vk,cpc,freemium-java,23.71
"2023-06-10",vk,cpc,freemium-python,17.73
"2023-06-10",vk,cpc,freemium-frontend,16.36
"2023-06-11",vk,cpc,prof-frontend,44.37
"2023-06-11",vk,cpc,prof-data-analytics,32.40
"2023-06-11",vk,cpc,prof-python,27.29
"2023-06-11",vk,cpc,prof-java,25.72
"2023-06-11",vk,cpc,freemium-java,23.14
"2023-06-11",vk,cpc,freemium-python,22.64
"2023-06-11",vk,cpc,freemium-frontend,12.00
"2023-06-12",vk,cpc,prof-frontend,44.94
"2023-06-12",vk,cpc,freemium-java,36.53
"2023-06-12",vk,cpc,prof-python,26.54
"2023-06-12",vk,cpc,prof-data-analytics,26.01
"2023-06-12",vk,cpc,prof-java,24.15
"2023-06-12",vk,cpc,freemium-python,20.96
"2023-06-12",vk,cpc,freemium-frontend,17.23
"2023-06-13",yandex,cpc,prof-frontend,597.00
"2023-06-13",yandex,cpc,prof-java,440.00
"2023-06-13",yandex,cpc,prof-python,415.78
"2023-06-13",yandex,cpc,dod-frontend,412.30
"2023-06-13",yandex,cpc,prof-data-analytics,354.88
"2023-06-13",yandex,cpc,base-frontend,352.83
"2023-06-13",yandex,cpc,dod-professions,325.42
"2023-06-13",yandex,cpc,base-professions-retarget,161.60
"2023-06-13",vk,cpc,prof-frontend,147.54
"2023-06-13",yandex,cpc,freemium,134.22
"2023-06-13",yandex,cpc,prof-professions-brand,108.30
"2023-06-13",vk,cpc,prof-java,92.55
"2023-06-13",vk,cpc,prof-data-analytics,85.47
"2023-06-13",vk,cpc,prof-python,78.82
"2023-06-13",vk,cpc,freemium-python,48.81
"2023-06-13",vk,cpc,freemium-frontend,44.29
"2023-06-13",vk,cpc,freemium-java,41.70
"2023-06-13",yandex,cpc,prof-professions-retarget,33.56
"2023-06-14",vk,cpc,prof-frontend,1015.40
"2023-06-14",vk,cpc,prof-python,1014.80
"2023-06-14",vk,cpc,prof-java,822.40
"2023-06-14",yandex,cpc,prof-frontend,428.02
"2023-06-14",vk,cpc,prof-data-analytics,418.90
"2023-06-14",vk,cpc,freemium-python,361.88
"2023-06-14",vk,cpc,freemium-frontend,309.88
"2023-06-14",yandex,cpc,prof-data-analytics,276.69
"2023-06-14",yandex,cpc,prof-python,245.68
"2023-06-14",yandex,cpc,prof-java,227.92
"2023-06-14",yandex,cpc,dod-python-java,129.86
"2023-06-14",yandex,cpc,dod-professions,122.58
"2023-06-14",yandex,cpc,base-professions-retarget,90.25
"2023-06-14",yandex,cpc,freemium,87.22
"2023-06-14",yandex,cpc,prof-professions-brand,73.06
"2023-06-14",yandex,cpc,dod-frontend,65.60
"2023-06-14",yandex,cpc,prof-professions-retarget,25.70
"2023-06-15",vk,cpc,prof-python,1945.67
"2023-06-15",vk,cpc,prof-frontend,937.60
"2023-06-15",vk,cpc,prof-java,710.67
