"created_at","leads_count"
"2023-06-01",52
"2023-06-02",40
"2023-06-03",30
"2023-06-04",27
"2023-06-05",51
"2023-06-06",55
"2023-06-07",58
"2023-06-08",46
"2023-06-09",40
"2023-06-10",29
"2023-06-11",25
"2023-06-12",29
"2023-06-13",42
"2023-06-14",73
"2023-06-15",87
"2023-06-16",46
"2023-06-17",37
"2023-06-18",35
"2023-06-19",56
"2023-06-20",72
"2023-06-21",64
"2023-06-22",48
"2023-06-23",37
"2023-06-24",28
"2023-06-25",30
"2023-06-26",31
"2023-06-27",40
"2023-06-28",42
"2023-06-29",27
"2023-06-30",23
