"source","medium","campaign","created_at","leads_count"
google,organic,,"2023-06-01",108
vk,cpc,freemium-frontend,"2023-06-01",7
yandex,cpc,prof-frontend,"2023-06-01",6
yandex,cpc,freemium,"2023-06-01",5
vk,cpc,base-python,"2023-06-01",5
yandex,cpc,base-frontend,"2023-06-01",4
yandex,cpc,base-python,"2023-06-01",4
yandex,cpc,prof-python,"2023-06-01",3
vk,cpc,prof-java,"2023-06-01",2
vk,cpc,prof-python,"2023-06-01",2
organic,organic,,"2023-06-01",2
yandex,cpc,base-java,"2023-06-01",2
yandex,cpc,prof-java,"2023-06-01",1
yandex,cpc,prof-professions-brand,"2023-06-01",1
yandex,cpc,dod-php,"2023-06-01",1
vk,cpc,freemium-java,"2023-06-01",1
telegram,cpp,prof-python,"2023-06-01",1
google,organic,,"2023-06-02",34
admitad,cpa,admitad,"2023-06-02",9
vk,cpc,prof-data-analytics,"2023-06-02",4
organic,organic,,"2023-06-02",4
vk,cpc,base-python,"2023-06-02",3
vk,cpc,freemium-java,"2023-06-02",3
yandex,cpc,base-frontend,"2023-06-02",3
vk,cpc,prof-python,"2023-06-02",3
vk,cpc,freemium-frontend,"2023-06-02",2
yandex,cpc,prof-frontend,"2023-06-02",2
telegram,cpp,dod-java,"2023-06-02",2
yandex,cpc,prof-python,"2023-06-02",2
yandex,cpc,freemium,"2023-06-02",2
vk,cpc,prof-java,"2023-06-02",1
yandex,cpc,base-python,"2023-06-02",1
vk,cpc,freemium-python,"2023-06-02",1
telegram,cpp,prof-frontend,"2023-06-02",1
yandex,cpc,prof-java,"2023-06-02",1
yandex,cpc,base-java,"2023-06-02",1
zen,social,all-courses,"2023-06-02",1
google,organic,,"2023-06-03",34
vk,cpc,base-python,"2023-06-03",6
organic,organic,,"2023-06-03",5
yandex,cpc,freemium,"2023-06-03",3
vk,cpc,freemium-frontend,"2023-06-03",2
yandex,cpc,base-frontend,"2023-06-03",2
yandex,cpc,prof-frontend,"2023-06-03",1
yandex,cpc,prof-java,"2023-06-03",1
yandex,cpc,dod-php,"2023-06-03",1
vk,cpc,freemium-python,"2023-06-03",1
yandex,cpc,prof-data-analytics,"2023-06-03",1
yandex,cpc,prof-python,"2023-06-03",1
vk,cpc,prof-python,"2023-06-03",1
vk,cpc,prof-data-analytics,"2023-06-03",1
vk,cpc,freemium-java,"2023-06-03",1
yandex,cpc,freemium,"2023-06-04",5
vk,cpp,dod-php,"2023-06-04",3
google,organic,,"2023-06-04",3
organic,organic,,"2023-06-04",3
vk,cpc,prof-data-analytics,"2023-06-04",2
vk,cpc,prof-python,"2023-06-04",2
vk,cpc,freemium-java,"2023-06-04",2
admitad,cpa,admitad,"2023-06-04",1
yandex,cpc,dod-frontend,"2023-06-04",1
yandex,cpc,base-python,"2023-06-04",1
vk,cpc,prof-java,"2023-06-04",1
vk,cpc,freemium-frontend,"2023-06-04",1
yandex,cpc,prof-python,"2023-06-04",1
