"visit_date","utm_source","utm_medium","utm_campaign","roi"
"2023-06-01",yandex,cpc,base-professions-retarget,88707.95
"2023-06-01",vk,cpc,prof-python,17432.74
"2023-06-01",vk,cpc,freemium-frontend,10598.83
"2023-06-01",yandex,cpc,freemium,7542.05
"2023-06-01",vk,cpc,prof-java,7371.14
"2023-06-01",yandex,cpc,base-python,3700.87
"2023-06-01",yandex,cpc,prof-professions-brand,3102.30
"2023-06-01",yandex,cpc,dod-php,2419.37
"2023-06-01",yandex,cpc,prof-data-analytics,2083.86
"2023-06-01",yandex,cpc,prof-python,1756.71
"2023-06-01",yandex,cpc,prof-frontend,1749.91
"2023-06-01",yandex,cpc,base-frontend,1386.71
"2023-06-01",yandex,cpc,prof-java,865.04
"2023-06-01",vk,cpc,base-python,257.59
"2023-06-01",yandex,cpc,base-java,149.32
"2023-06-01",vk,cpc,freemium-python,59.18
"2023-06-01",vk,cpc,prof-data-analytics,
"2023-06-01",vk,cpc,freemium-java,
"2023-06-01",vk,cpm,prof-data-analytics,
"2023-06-01",yandex,cpc,dod-java,
"2023-06-01",yandex,cpc,prof-professions-retarget,
"2023-06-01",yandex,cpc,dod-frontend,
"2023-06-02",vk,cpc,prof-java,
"2023-06-02",vk,cpc,base-python,
"2023-06-02",vk,cpc,freemium-frontend,
"2023-06-02",vk,cpc,freemium-java,
"2023-06-02",vk,cpc,freemium-python,
"2023-06-02",vk,cpc,prof-data-analytics,
"2023-06-02",vk,cpc,prof-python,
"2023-06-03",vk,cpc,base-python,
"2023-06-03",vk,cpc,freemium-frontend,
"2023-06-03",vk,cpc,freemium-java,
"2023-06-03",vk,cpc,freemium-python,
"2023-06-03",vk,cpc,prof-data-analytics,
"2023-06-03",vk,cpc,prof-java,
"2023-06-03",vk,cpc,prof-python,
"2023-06-04",vk,cpc,base-python,
"2023-06-04",vk,cpc,freemium-frontend,
"2023-06-04",vk,cpc,freemium-java,
"2023-06-04",vk,cpc,freemium-python,
"2023-06-04",vk,cpc,prof-data-analytics,
"2023-06-04",vk,cpc,prof-java,
"2023-06-04",vk,cpc,prof-python,
"2023-06-04",vk,cpm,prof-data-analytics,
"2023-06-05",vk,cpc,prof-java,
"2023-06-05",vk,cpc,base-python,
"2023-06-05",vk,cpc,freemium-frontend,
"2023-06-05",vk,cpc,freemium-java,
"2023-06-05",vk,cpc,freemium-python,
"2023-06-05",vk,cpc,prof-data-analytics,
"2023-06-05",vk,cpc,prof-python,
"2023-06-05",vk,cpm,prof-data-analytics,
"2023-06-06",vk,cpc,base-python,
"2023-06-06",vk,cpc,freemium-frontend,
"2023-06-06",vk,cpc,freemium-java,
"2023-06-06",vk,cpc,freemium-python,
"2023-06-06",vk,cpc,prof-data-analytics,
"2023-06-06",vk,cpc,prof-java,
"2023-06-06",vk,cpc,prof-python,
"2023-06-06",vk,cpm,prof-data-analytics,
"2023-06-07",vk,cpc,base-python,
"2023-06-07",vk,cpc,freemium-frontend,
"2023-06-07",vk,cpc,freemium-java,
"2023-06-07",vk,cpc,freemium-python,
"2023-06-07",vk,cpc,prof-data-analytics,
"2023-06-07",vk,cpc,prof-java,
"2023-06-07",vk,cpc,prof-python,
"2023-06-07",vk,cpm,prof-data-analytics,
"2023-06-08",vk,cpc,base-python,
"2023-06-08",vk,cpc,freemium-frontend,
"2023-06-08",vk,cpc,freemium-java,
"2023-06-08",vk,cpc,freemium-python,
"2023-06-08",vk,cpc,prof-data-analytics,
"2023-06-08",vk,cpc,prof-frontend,
"2023-06-08",vk,cpc,prof-java,
"2023-06-08",vk,cpc,prof-python,
"2023-06-08",vk,cpm,prof-data-analytics,
"2023-06-09",vk,cpc,freemium-frontend,
"2023-06-09",vk,cpc,freemium-java,
"2023-06-09",vk,cpc,freemium-python,
"2023-06-09",vk,cpc,prof-data-analytics,
"2023-06-09",vk,cpc,prof-frontend,
"2023-06-09",vk,cpc,prof-java,
"2023-06-09",vk,cpc,prof-python,
"2023-06-09",vk,cpm,prof-data-analytics,
"2023-06-10",vk,cpc,freemium-frontend,
"2023-06-10",vk,cpc,freemium-java,
"2023-06-10",vk,cpc,freemium-python,
"2023-06-10",vk,cpc,prof-data-analytics,
"2023-06-10",vk,cpc,prof-frontend,
"2023-06-10",vk,cpc,prof-java,
"2023-06-10",vk,cpc,prof-python,
"2023-06-11",vk,cpc,freemium-frontend,
"2023-06-11",vk,cpc,freemium-java,
"2023-06-11",vk,cpc,freemium-python,
"2023-06-11",vk,cpc,prof-data-analytics,
"2023-06-11",vk,cpc,prof-frontend,
"2023-06-11",vk,cpc,prof-java,
"2023-06-11",vk,cpc,prof-python,
"2023-06-12",vk,cpc,prof-data-analytics,
"2023-06-12",vk,cpc,freemium-frontend,
"2023-06-12",vk,cpc,freemium-java,
"2023-06-12",vk,cpc,freemium-python,
"2023-06-12",vk,cpc,prof-frontend,
"2023-06-12",vk,cpc,prof-java,
"2023-06-12",vk,cpc,prof-python,
"2023-06-13",vk,cpc,freemium-frontend,
"2023-06-13",vk,cpc,freemium-java,
"2023-06-13",vk,cpc,freemium-python,
"2023-06-13",vk,cpc,prof-data-analytics,
"2023-06-13",vk,cpc,prof-frontend,
"2023-06-13",vk,cpc,prof-java,
"2023-06-13",vk,cpc,prof-python,
"2023-06-13",yandex,cpc,base-frontend,
"2023-06-13",yandex,cpc,base-professions-retarget,
"2023-06-13",yandex,cpc,dod-frontend,
"2023-06-13",yandex,cpc,dod-professions,
"2023-06-13",yandex,cpc,freemium,
"2023-06-13",yandex,cpc,prof-data-analytics,
"2023-06-13",yandex,cpc,prof-frontend,
"2023-06-13",yandex,cpc,prof-java,
"2023-06-13",yandex,cpc,prof-professions-brand,
"2023-06-13",yandex,cpc,prof-professions-retarget,
"2023-06-13",yandex,cpc,prof-python,
"2023-06-14",vk,cpc,freemium-frontend,
"2023-06-14",vk,cpc,freemium-python,
"2023-06-14",vk,cpc,prof-data-analytics,
"2023-06-14",vk,cpc,prof-frontend,
"2023-06-14",vk,cpc,prof-java,
"2023-06-14",vk,cpc,prof-python,
"2023-06-14",yandex,cpc,base-professions-retarget,
"2023-06-14",yandex,cpc,dod-frontend,
"2023-06-14",yandex,cpc,dod-professions,
"2023-06-14",yandex,cpc,dod-python-java,
"2023-06-14",yandex,cpc,freemium,
"2023-06-14",yandex,cpc,prof-data-analytics,
"2023-06-14",yandex,cpc,prof-frontend,
"2023-06-14",yandex,cpc,prof-java,
"2023-06-14",yandex,cpc,prof-professions-brand,
"2023-06-14",yandex,cpc,prof-professions-retarget,
