"visit_date","daily_visitor_count"
"2023-06-01",9969
"2023-06-02",9211
"2023-06-03",6671
"2023-06-04",3703
"2023-06-05",9108
"2023-06-06",9376
"2023-06-07",3736
"2023-06-08",9633
"2023-06-09",8579
"2023-06-10",5733
"2023-06-11",6384
"2023-06-12",7878
"2023-06-13",3593
"2023-06-14",9591
"2023-06-15",8658
"2023-06-16",8418
"2023-06-17",6163
"2023-06-18",5839
"2023-06-19",2974
"2023-06-20",9687
"2023-06-21",3638
"2023-06-22",6171
"2023-06-23",8335
"2023-06-24",5276
"2023-06-25",6321
"2023-06-26",8380
"2023-06-27",9204
"2023-06-28",8839
"2023-06-29",8486
"2023-06-30",3190
