"source","medium","campaign","visit_date","visitors_count"
google,organic,,"2023-06-01",6713
organic,organic,,"2023-06-01",2040
yandex,cpc,freemium,"2023-06-01",130
vk,cpc,freemium-frontend,"2023-06-01",126
admitad,cpa,admitad,"2023-06-01",100
vk,cpc,prof-python,"2023-06-01",97
yandex,cpc,prof-frontend,"2023-06-01",96
vk,cpc,base-python,"2023-06-01",83
yandex,cpc,prof-python,"2023-06-01",82
vk,cpc,prof-java,"2023-06-01",82
vk,cpc,prof-data-analytics,"2023-06-01",76
vk,cpc,freemium-java,"2023-06-01",72
vk,cpc,freemium-python,"2023-06-01",66
yandex,cpc,prof-java,"2023-06-01",61
bing.com,organic,,"2023-06-01",59
yandex,cpc,base-frontend,"2023-06-01",54
telegram,cpp,base-python,"2023-06-01",44
telegram,cpp,base-java,"2023-06-01",38
yandex,cpc,base-python,"2023-06-01",37
vk,cpc,prof-frontend,"2023-06-01",30
yandex,cpc,base-java,"2023-06-01",26
yandex,cpc,prof-professions-brand,"2023-06-01",24
yandex,cpc,prof-data-analytics,"2023-06-01",17
yandex,cpc,prof-professions-retarget,"2023-06-01",15
tproger,cpc,dod-frontend,"2023-06-01",11
vk,cpm,prof-data-analytics,"2023-06-01",11
vk-senler,cpc,freemium,"2023-06-01",10
yandex,cpc,dod-frontend,"2023-06-01",10
zen,social,hexlet-blog,"2023-06-01",9
zen,social,prof-frontend,"2023-06-01",8
yandex,cpc,dod-professions,"2023-06-01",7
yandex,cpc,dod-php,"2023-06-01",6
yandex,cpc,dod-java,"2023-06-01",6
telegram,cpp,base-frontend,"2023-06-01",5
telegram,social,course_completed,"2023-06-01",5
yandex,cpc,dod-python-java,"2023-06-01",5
telegram,cpp,dod-php,"2023-06-01",4
vk,social,all-courses,"2023-06-01",4
yandex,cpc,base-professions-retarget,"2023-06-01",4
zen,social,prof-backend,"2023-06-01",4
telegram,cpp,dod-java,"2023-06-01",3
vk,cpp,dod-php,"2023-06-01",3
google,cpc,frontend,"2023-06-01",3
yandex.com,organic,,"2023-06-01",3
vk,cpp,intensive-python,"2023-06-01",2
vk,social,hexlet-blog,"2023-06-01",2
twitter,social,hexlet-blog,"2023-06-01",2
telegram,cpm,java,"2023-06-01",1
vk,social,hexlet.io/my,"2023-06-01",1
Yandex,cpm,"01097402","2023-06-01",1
admitad,cpa,"442763","2023-06-01",1
twitter,social,promo,"2023-06-01",1
vc,cpp,dod-php,"2023-06-01",1
telegram,cpp,prof-python,"2023-06-01",1
telegram,cpp,prof-php,"2023-06-01",1
telegram,social,mdtrue*studenty-mnogih-onlayn-kursov-p,"2023-06-01",1
twitter,social,devushki_v_it,"2023-06-01",1
telegram,cpp,intensive-python,"2023-06-01",1
Yandex,cpc,"03997128","2023-06-01",1
dzen,social,dzen_post,"2023-06-01",1
telegram,social,promo,"2023-06-01",1
go.mail.ru,organic,,"2023-06-01",1
vkontakte,social,button-vk,"2023-06-01",1
telegram.me,social,voshozhdenie-po-beskonechnoy-lestnitse-abst,"2023-06-01",1
telegram.me,social,neobhodimyy-minimum-linux-dlya-produktivn,"2023-06-01",1
vk-senler,cpc,base-frontend,"2023-06-01",1
vk,social,course_completed,"2023-06-01",1
telegram,social,webinars,"2023-06-01",1
telegram,cpm,base_java,"2023-06-01",1
vk,social,general,"2023-06-01",1
twitter.com,social,buffer,"2023-06-01",1
vk,social,hexlet,"2023-06-01",1
google,organic,,"2023-06-02",5608
organic,organic,,"2023-06-02",1865
vk,cpc,prof-python,"2023-06-02",242
vk,cpc,prof-java,"2023-06-02",218
vk,cpc,freemium-frontend,"2023-06-02",211
vk,cpc,prof-data-analytics,"2023-06-02",178
vk,cpc,freemium-java,"2023-06-02",164
vk,cpc,freemium-python,"2023-06-02",147
vk,cpc,base-python,"2023-06-02",134
vk,cpc,prof-frontend,"2023-06-02",120
admitad,cpa,admitad,"2023-06-02",76
tproger,cpc,dod-frontend,"2023-06-02",55
bing.com,organic,,"2023-06-02",49
telegram,cpp,base-java,"2023-06-02",27
vk,cpm,prof-data-analytics,"2023-06-02",15
vk-senler,cpc,freemium,"2023-06-02",15
telegram,cpp,dod-java,"2023-06-02",13
telegram,cpp,base-python,"2023-06-02",13
telegram,cpp,dod-php,"2023-06-02",9
yandex.com,organic,,"2023-06-02",6
zen,social,hexlet-blog,"2023-06-02",6
telegram,cpp,prof-frontend,"2023-06-02",4
vk,cpm,prof-frontend,"2023-06-02",4
vk,social,hexlet-blog,"2023-06-02",4
zen,social,prof-frontend,"2023-06-02",3
vk,social,all-courses,"2023-06-02",3
baidu.com,organic,,"2023-06-02",3
zen,social,promo,"2023-06-02",3
telegram,cpp,base-frontend,"2023-06-02",2
twitter,social,devushki_v_it,"2023-06-02",2
telegram,social,hexlet-blog,"2023-06-02",2
vk,cpp,dod-php,"2023-06-02",2
telegram,social,course_completed,"2023-06-02",2
vk,cpc,prof-qa,"2023-06-02",1
facebook,social,learn-to-program-at-30,"2023-06-02",1
twitter,social,my-to--chto-my-skrollim-kak-programmistu,"2023-06-02",1
vk,social,general,"2023-06-02",1
vk,social,dod-php,"2023-06-02",1
telegram,cpm,base_java,"2023-06-02",1
instagram,social,hexlet-blog,"2023-06-02",1
telegram,social,,"2023-06-02",1
yandex-direct,cpm,"00788899","2023-06-02",1
vc,cpp,dod-php,"2023-06-02",1
vk,social,base-python,"2023-06-02",1
yandex-direct,cpc,"34668848","2023-06-02",1
vk,cpc,freemium,"2023-06-02",1
botmother,tg,frontend,"2023-06-02",1
partners,cpc,prof-python,"2023-06-02",1
tg,social,newdirections,"2023-06-02",1
telegram,cpp,dod-professions,"2023-06-02",1
telegram,cpp,prof-python,"2023-06-02",1
dzen,social,dzen_post,"2023-06-02",1
vk,cpp,base-frontend,"2023-06-02",1
telegram,social,promo,"2023-06-02",1
mytarget,cpc,retarget,"2023-06-02",1
facebook,cpm,freemium-en,"2023-06-02",1
telegram,social,kak_gumanitariyu_popast-v_it,"2023-06-02",1
google,organic,,"2023-06-03",3607
organic,organic,,"2023-06-03",1381
vk,cpc,freemium-frontend,"2023-06-03",215
tproger,cpc,dod-frontend,"2023-06-03",207
vk,cpc,prof-python,"2023-06-03",204
vk,cpc,prof-java,"2023-06-03",199
vk,cpc,prof-data-analytics,"2023-06-03",172
vk,cpc,freemium-java,"2023-06-03",150
vk,cpc,freemium-python,"2023-06-03",122
vk,cpc,prof-frontend,"2023-06-03",122
vk,cpc,base-python,"2023-06-03",101
admitad,cpa,admitad,"2023-06-03",61
bing.com,organic,,"2023-06-03",31
vk-senler,cpc,freemium,"2023-06-03",21
telegram,cpp,base-python,"2023-06-03",16
vk,cpm,prof-data-analytics,"2023-06-03",12
zen,social,promo,"2023-06-03",9
telegram,cpp,base-frontend,"2023-06-03",7
baidu.com,organic,,"2023-06-03",5
telegram,social,course_completed,"2023-06-03",3
telegram,cpp,prof-frontend,"2023-06-03",3
vk,cpm,prof-frontend,"2023-06-03",3
yandex.com,organic,,"2023-06-03",3
telegram,cpp,base-java,"2023-06-03",3
vk,social,all-courses,"2023-06-03",3
vk,cpp,dod-php,"2023-06-03",3
vk,social,hexlet-blog,"2023-06-03",2
google,cpc,frontend,"2023-06-03",2
telegram,social,hexlet-blog,"2023-06-03",2
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,social,course_completed,"2023-06-03",1
yandex-direct,cpc,"16645437","2023-06-03",1
telegram,cpp,prof-python,"2023-06-03",1
vk,social,promo,"2023-06-03",1
vk,cpm,java,"2023-06-03",1
zen,social,all-courses,"2023-06-03",1
vk,social,prof-python,"2023-06-03",1
telegram,cpp,prof-java,"2023-06-03",1
twitter,social,hexlet-blog,"2023-06-03",1
vc,cpp,dod-php,"2023-06-03",1
twitter,social,course_completed,"2023-06-03",1
Yandex,cpc,"59988739","2023-06-03",1
dzen,social,dzen_post,"2023-06-03",1
facebook,cpm,freemium-en,"2023-06-03",1
telegram,cpp,dod-java,"2023-06-03",1
admitad,cpa,"442763","2023-06-03",1
Yandex,cpm,"94599791","2023-06-03",1
Yandex,cpc,"02284027","2023-06-03",1
vc,cpp,dod-frontend,"2023-06-03",1
vk,social,base-frontend,"2023-06-03",1
vk,social,base-python,"2023-06-03",1
vk,social,course_completed,"2023-06-03",1
telegram,social,webinars,"2023-06-03",1
telegram,social,base-java,"2023-06-03",1
google,organic,,"2023-06-04",1032
organic,organic,,"2023-06-04",951
vk,cpc,freemium-frontend,"2023-06-04",228
vk,cpc,prof-python,"2023-06-04",215
vk,cpc,prof-java,"2023-06-04",189
tproger,cpc,dod-frontend,"2023-06-04",157
vk,cpc,freemium-java,"2023-06-04",150
vk,cpc,base-python,"2023-06-04",145
vk,cpc,prof-data-analytics,"2023-06-04",133
vk,cpc,freemium-python,"2023-06-04",131
vk,cpc,prof-frontend,"2023-06-04",113
telegram,cpp,base-python,"2023-06-04",53
admitad,cpa,admitad,"2023-06-04",49
bing.com,organic,,"2023-06-04",38
vk,cpm,prof-data-analytics,"2023-06-04",24
vk-senler,cpc,freemium,"2023-06-04",15
telegram,cpp,base-java,"2023-06-04",12
telegram,cpp,base-frontend,"2023-06-04",12
vk,cpm,prof-frontend,"2023-06-04",11
baidu.com,organic,,"2023-06-04",5
