"source","medium","visit_date","visitors_count"
google,organic,"2023-06-01",6713
organic,organic,"2023-06-01",2040
vk,paid,"2023-06-01",592
yandex,paid,"2023-06-01",469
telegram,paid,"2023-06-01",107
admitad,paid,"2023-06-01",101
bing.com,organic,"2023-06-01",59
zen,paid,"2023-06-01",21
tproger,paid,"2023-06-01",11
vk-senler,paid,"2023-06-01",11
twitter,paid,"2023-06-01",4
google,paid,"2023-06-01",3
yandex.com,organic,"2023-06-01",3
Yandex,paid,"2023-06-01",2
go.mail.ru,organic,"2023-06-01",1
dzen,paid,"2023-06-01",1
telegram.me,paid,"2023-06-01",1
vkontakte,paid,"2023-06-01",1
twitter.com,paid,"2023-06-01",1
vc,paid,"2023-06-01",1
google,organic,"2023-06-02",5608
organic,organic,"2023-06-02",1865
vk,paid,"2023-06-02",1446
telegram,paid,"2023-06-02",78
admitad,paid,"2023-06-02",76
tproger,paid,"2023-06-02",55
bing.com,organic,"2023-06-02",49
vk-senler,paid,"2023-06-02",15
zen,paid,"2023-06-02",12
yandex.com,organic,"2023-06-02",6
twitter,paid,"2023-06-02",3
baidu.com,organic,"2023-06-02",3
facebook,paid,"2023-06-02",2
yandex-direct,paid,"2023-06-02",2
instagram,paid,"2023-06-02",1
partners,paid,"2023-06-02",1
mytarget,paid,"2023-06-02",1
dzen,paid,"2023-06-02",1
botmother,paid,"2023-06-02",1
vc,paid,"2023-06-02",1
tg,paid,"2023-06-02",1
google,organic,"2023-06-03",3607
organic,organic,"2023-06-03",1381
vk,paid,"2023-06-03",1313
tproger,paid,"2023-06-03",207
admitad,paid,"2023-06-03",62
telegram,paid,"2023-06-03",39
bing.com,organic,"2023-06-03",31
vk-senler,paid,"2023-06-03",21
zen,paid,"2023-06-03",10
baidu.com,organic,"2023-06-03",5
yandex.com,organic,"2023-06-03",3
Yandex,paid,"2023-06-03",3
twitter,paid,"2023-06-03",2
google,paid,"2023-06-03",2
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,paid,"2023-06-03",1
vc,paid,"2023-06-03",1
facebook,paid,"2023-06-03",1
dzen,paid,"2023-06-03",1
yandex-direct,paid,"2023-06-03",1
vk,paid,"2023-06-04",1358
google,organic,"2023-06-04",1032
organic,organic,"2023-06-04",951
tproger,paid,"2023-06-04",157
telegram,paid,"2023-06-04",92
admitad,paid,"2023-06-04",51
bing.com,organic,"2023-06-04",38
vk-senler,paid,"2023-06-04",15
baidu.com,organic,"2023-06-04",5
twitter,paid,"2023-06-04",3
instagram,paid,"2023-06-04",1
dzen,paid,"2023-06-04",1
telegram.me,paid,"2023-06-04",1
zen,paid,"2023-06-04",1
twitter.com,paid,"2023-06-04",1
Yandex,paid,"2023-06-04",1
google,organic,"2023-06-05",6267
vk,paid,"2023-06-05",1295
organic,organic,"2023-06-05",1220
telegram,paid,"2023-06-05",121
admitad,paid,"2023-06-05",62
bing.com,organic,"2023-06-05",60
tproger,paid,"2023-06-05",49
vk-senler,paid,"2023-06-05",25
yandex.com,organic,"2023-06-05",3
vc,paid,"2023-06-05",3
zen,paid,"2023-06-05",2
Yandex,paid,"2023-06-05",2
twitter,paid,"2023-06-05",1
baidu.com,organic,"2023-06-05",1
facebook,paid,"2023-06-05",1
google,paid,"2023-06-05",1
instagram,paid,"2023-06-05",1
mytarget,paid,"2023-06-05",1
podcast,paid,"2023-06-05",1
search.ukr.net,organic,"2023-06-05",1
telegram.me,paid,"2023-06-05",1
yandex-direct,paid,"2023-06-05",1
google,organic,"2023-06-06",6454
organic,organic,"2023-06-06",1466
vk,paid,"2023-06-06",1193
telegram,paid,"2023-06-06",124
admitad,paid,"2023-06-06",54
bing.com,organic,"2023-06-06",45
vk-senler,paid,"2023-06-06",24
tproger,paid,"2023-06-06",8
baidu.com,organic,"2023-06-06",5
yandex.com,organic,"2023-06-06",4
vc,paid,"2023-06-06",2
google,paid,"2023-06-06",2
twitter,paid,"2023-06-06",2
vk.com,paid,"2023-06-06",1
telegram.me,paid,"2023-06-06",1
zen,paid,"2023-06-06",1
instagram,paid,"2023-06-06",1
go.mail.ru,organic,"2023-06-06",1
slack,paid,"2023-06-06",1
yandex-direct,paid,"2023-06-06",1
organic,organic,"2023-06-07",1271
vk,paid,"2023-06-07",1122
google,organic,"2023-06-07",1054
telegram,paid,"2023-06-07",96
admitad,paid,"2023-06-07",79
bing.com,organic,"2023-06-07",66
vk-senler,paid,"2023-06-07",26
tproger,paid,"2023-06-07",9
yandex.com,organic,"2023-06-07",6
instagram,paid,"2023-06-07",3
baidu.com,organic,"2023-06-07",2
facebook,paid,"2023-06-07",2
zen,paid,"2023-06-07",2
yandex-direct,paid,"2023-06-07",1
botmother,paid,"2023-06-07",1
twitter,paid,"2023-06-07",1
public,paid,"2023-06-07",1
google,organic,"2023-06-08",6169
organic,organic,"2023-06-08",1946
vk,paid,"2023-06-08",1221
telegram,paid,"2023-06-08",82
admitad,paid,"2023-06-08",80
bing.com,organic,"2023-06-08",56
timepad,paid,"2023-06-08",47
vk-senler,paid,"2023-06-08",18
tproger,paid,"2023-06-08",12
zen,paid,"2023-06-08",5
baidu.com,organic,"2023-06-08",4
search.ukr.net,organic,"2023-06-08",2
yandex.com,organic,"2023-06-08",2
facebook,paid,"2023-06-08",1
telegram.me,paid,"2023-06-08",1
facebook.com,paid,"2023-06-08",1
instagram,paid,"2023-06-08",1
twitter,paid,"2023-06-08",1
google,organic,"2023-06-09",5370
organic,organic,"2023-06-09",1800
vk,paid,"2023-06-09",1179
admitad,paid,"2023-06-09",72
bing.com,organic,"2023-06-09",53
telegram,paid,"2023-06-09",44
timepad,paid,"2023-06-09",35
vk-senler,paid,"2023-06-09",16
tproger,paid,"2023-06-09",7
baidu.com,organic,"2023-06-09",6
yandex.com,organic,"2023-06-09",2
Yandex,paid,"2023-06-09",2
telegram.me,paid,"2023-06-09",2
twitter,paid,"2023-06-09",2
go.mail.ru,organic,"2023-06-09",2
facebook,paid,"2023-06-09",1
rutube,paid,"2023-06-09",1
mytarget,paid,"2023-06-09",1
social,paid,"2023-06-09",1
google,organic,"2023-06-10",3363
organic,organic,"2023-06-10",1122
vk,paid,"2023-06-10",1103
admitad,paid,"2023-06-10",50
bing.com,organic,"2023-06-10",42
telegram,paid,"2023-06-10",25
vk-senler,paid,"2023-06-10",18
timepad,paid,"2023-06-10",7
baidu.com,organic,"2023-06-10",4
twitter,paid,"2023-06-10",2
yandex.com,organic,"2023-06-10",2
google,paid,"2023-06-10",2
search.ukr.net,organic,"2023-06-10",1
zen,paid,"2023-06-10",1
instagram,paid,"2023-06-10",1
go.mail.ru,organic,"2023-06-10",1
facebook,paid,"2023-06-10",1
google,organic,"2023-06-11",3635
organic,organic,"2023-06-11",1396
vk,paid,"2023-06-11",1217
admitad,paid,"2023-06-11",61
bing.com,organic,"2023-06-11",42
telegram,paid,"2023-06-11",18
vk-senler,paid,"2023-06-11",18
baidu.com,organic,"2023-06-11",5
twitter,paid,"2023-06-11",2
google,paid,"2023-06-11",2
timepad,paid,"2023-06-11",2
yandex.com,organic,"2023-06-11",1
facebook,paid,"2023-06-11",1
go.mail.ru,organic,"2023-06-11",1
instagram,paid,"2023-06-11",1
google,organic,"2023-06-12",4688
organic,organic,"2023-06-12",1729
vk,paid,"2023-06-12",1260
bing.com,organic,"2023-06-12",70
admitad,paid,"2023-06-12",56
telegram,paid,"2023-06-12",36
vk-senler,paid,"2023-06-12",33
timepad,paid,"2023-06-12",8
yandex.com,organic,"2023-06-12",2
twitter,paid,"2023-06-12",2
facebook,paid,"2023-06-12",2
baidu.com,organic,"2023-06-12",1
yandex-direct,paid,"2023-06-12",1
Yandex,paid,"2023-06-12",1
facebook.com,paid,"2023-06-12",1
instagram,paid,"2023-06-12",1
google,paid,"2023-06-12",1
tg,paid,"2023-06-12",1
zen,paid,"2023-06-12",1
organic,organic,"2023-06-13",1191
google,organic,"2023-06-13",1074
yandex,paid,"2023-06-13",648
vk,paid,"2023-06-13",450
admitad,paid,"2023-06-13",68
telegram,paid,"2023-06-13",62
bing.com,organic,"2023-06-13",61
vk-senler,paid,"2023-06-13",22
vc,paid,"2023-06-13",5
timepad,paid,"2023-06-13",5
baidu.com,organic,"2023-06-13",4
twitter,paid,"2023-06-13",3
yandex.com,organic,"2023-06-13",3
facebook,paid,"2023-06-13",3
Yandex,paid,"2023-06-13",1
zen,paid,"2023-06-13",1
go.mail.ru,organic,"2023-06-13",1
google,organic,"2023-06-14",6299
organic,organic,"2023-06-14",1884
yandex,paid,"2023-06-14",1042
vk,paid,"2023-06-14",79
telegram,paid,"2023-06-14",79
admitad,paid,"2023-06-14",71
bing.com,organic,"2023-06-14",64
timepad,paid,"2023-06-14",44
vk-senler,paid,"2023-06-14",30
baidu.com,organic,"2023-06-14",5
yandex.com,organic,"2023-06-14",5
twitter,paid,"2023-06-14",4
vc,paid,"2023-06-14",3
zen,paid,"2023-06-14",2
facebook,paid,"2023-06-14",1
dzen,paid,"2023-06-14",1
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,paid,"2023-06-14",1
mytarget,paid,"2023-06-14",1
yandex-direct,paid,"2023-06-14",1
google,organic,"2023-06-15",6115
organic,organic,"2023-06-15",1216
