"source","visit_date","visitors_count"
google,"2023-06-01",6716
organic,"2023-06-01",2040
vk,"2023-06-01",592
yandex,"2023-06-01",469
telegram,"2023-06-01",107
admitad,"2023-06-01",101
bing.com,"2023-06-01",59
zen,"2023-06-01",21
vk-senler,"2023-06-01",11
tproger,"2023-06-01",11
twitter,"2023-06-01",4
yandex.com,"2023-06-01",3
Yandex,"2023-06-01",2
telegram.me,"2023-06-01",1
vc,"2023-06-01",1
twitter.com,"2023-06-01",1
dzen,"2023-06-01",1
vkontakte,"2023-06-01",1
go.mail.ru,"2023-06-01",1
google,"2023-06-02",5608
organic,"2023-06-02",1865
vk,"2023-06-02",1446
telegram,"2023-06-02",78
admitad,"2023-06-02",76
tproger,"2023-06-02",55
bing.com,"2023-06-02",49
vk-senler,"2023-06-02",15
zen,"2023-06-02",12
yandex.com,"2023-06-02",6
twitter,"2023-06-02",3
baidu.com,"2023-06-02",3
facebook,"2023-06-02",2
yandex-direct,"2023-06-02",2
dzen,"2023-06-02",1
tg,"2023-06-02",1
mytarget,"2023-06-02",1
vc,"2023-06-02",1
partners,"2023-06-02",1
botmother,"2023-06-02",1
instagram,"2023-06-02",1
google,"2023-06-03",3609
organic,"2023-06-03",1381
vk,"2023-06-03",1313
tproger,"2023-06-03",207
admitad,"2023-06-03",62
telegram,"2023-06-03",39
bing.com,"2023-06-03",31
vk-senler,"2023-06-03",21
zen,"2023-06-03",10
baidu.com,"2023-06-03",5
yandex.com,"2023-06-03",3
Yandex,"2023-06-03",3
twitter,"2023-06-03",2
vc,"2023-06-03",1
yandex-direct,"2023-06-03",1
dzen,"2023-06-03",1
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,"2023-06-03",1
facebook,"2023-06-03",1
vk,"2023-06-04",1358
google,"2023-06-04",1032
organic,"2023-06-04",951
tproger,"2023-06-04",157
telegram,"2023-06-04",92
admitad,"2023-06-04",51
bing.com,"2023-06-04",38
vk-senler,"2023-06-04",15
baidu.com,"2023-06-04",5
twitter,"2023-06-04",3
instagram,"2023-06-04",1
Yandex,"2023-06-04",1
zen,"2023-06-04",1
twitter.com,"2023-06-04",1
dzen,"2023-06-04",1
telegram.me,"2023-06-04",1
google,"2023-06-05",6268
vk,"2023-06-05",1295
organic,"2023-06-05",1220
telegram,"2023-06-05",121
admitad,"2023-06-05",62
bing.com,"2023-06-05",60
tproger,"2023-06-05",49
vk-senler,"2023-06-05",25
vc,"2023-06-05",3
yandex.com,"2023-06-05",3
zen,"2023-06-05",2
Yandex,"2023-06-05",2
instagram,"2023-06-05",1
telegram.me,"2023-06-05",1
facebook,"2023-06-05",1
podcast,"2023-06-05",1
baidu.com,"2023-06-05",1
twitter,"2023-06-05",1
search.ukr.net,"2023-06-05",1
yandex-direct,"2023-06-05",1
mytarget,"2023-06-05",1
google,"2023-06-06",6456
organic,"2023-06-06",1466
vk,"2023-06-06",1193
telegram,"2023-06-06",124
admitad,"2023-06-06",54
bing.com,"2023-06-06",45
vk-senler,"2023-06-06",24
tproger,"2023-06-06",8
baidu.com,"2023-06-06",5
yandex.com,"2023-06-06",4
twitter,"2023-06-06",2
vc,"2023-06-06",2
yandex-direct,"2023-06-06",1
slack,"2023-06-06",1
instagram,"2023-06-06",1
telegram.me,"2023-06-06",1
vk.com,"2023-06-06",1
go.mail.ru,"2023-06-06",1
zen,"2023-06-06",1
organic,"2023-06-07",1271
vk,"2023-06-07",1122
google,"2023-06-07",1054
telegram,"2023-06-07",96
admitad,"2023-06-07",79
bing.com,"2023-06-07",66
vk-senler,"2023-06-07",26
tproger,"2023-06-07",9
yandex.com,"2023-06-07",6
instagram,"2023-06-07",3
facebook,"2023-06-07",2
baidu.com,"2023-06-07",2
zen,"2023-06-07",2
twitter,"2023-06-07",1
botmother,"2023-06-07",1
yandex-direct,"2023-06-07",1
public,"2023-06-07",1
google,"2023-06-08",6169
organic,"2023-06-08",1946
vk,"2023-06-08",1221
telegram,"2023-06-08",82
admitad,"2023-06-08",80
bing.com,"2023-06-08",56
timepad,"2023-06-08",47
vk-senler,"2023-06-08",18
tproger,"2023-06-08",12
zen,"2023-06-08",5
baidu.com,"2023-06-08",4
search.ukr.net,"2023-06-08",2
yandex.com,"2023-06-08",2
instagram,"2023-06-08",1
telegram.me,"2023-06-08",1
twitter,"2023-06-08",1
