"source","medium","lcr"
vc,cpp,16.00
dzen,social,5.00
yandex,cpc,3.09
vk,cpc,2.95
vk,cpm,2.85
telegram,cpp,1.57
vk,social,1.07
instagram,social,1.04
vk,cpp,1.02
telegram,social,0.89
vk-senler,cpc,0.36
admitad,cpa,0.35
organic,organic,0.34
bing.com,organic,0.23
google,organic,0.21
public,social,0.00
rutube,social,0.00
search.ukr.net,organic,0.00
slack,social,0.00
social,youtube,0.00
telegram,cpm,0.00
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,social,0.00
telegram.me,social,0.00
tg,social,0.00
timepad,cpp,0.00
tproger,cpc,0.00
twitter,social,0.00
twitter.com,social,0.00
vk-group,cpc,0.00
vk.com,social,0.00
vkontakte,social,0.00
yandex-direct,cpc,0.00
yandex-direct,cpm,0.00
yandex.com,organic,0.00
zen,social,0.00
Yandex,cpc,0.00
zen_from_telegram,social,0.00
Yandex,cpm,0.00
admitad,cpc,0.00
baidu.com,organic,0.00
botmother,tg,0.00
facebook,cpc,0.00
facebook,cpm,0.00
facebook,social,0.00
facebook.com,social,0.00
go.mail.ru,organic,0.00
google,cpc,0.00
mytarget,cpc,0.00
partners,cpc,0.00
partners,cpm,0.00
podcast,social,0.00
