"source","lcr"
vc,16.00
dzen,5.00
yandex,3.09
vk,2.86
telegram,1.36
instagram,1.04
vk-senler,0.36
admitad,0.35
organic,0.34
bing.com,0.23
google,0.21
search.ukr.net,0.00
slack,0.00
social,0.00
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,0.00
telegram.me,0.00
tg,0.00
timepad,0.00
tproger,0.00
twitter,0.00
twitter.com,0.00
vk-group,0.00
vk.com,0.00
vkontakte,0.00
yandex-direct,0.00
yandex.com,0.00
zen,0.00
Yandex,0.00
zen_from_telegram,0.00
baidu.com,0.00
botmother,0.00
facebook,0.00
facebook.com,0.00
go.mail.ru,0.00
mytarget,0.00
partners,0.00
podcast,0.00
public,0.00
rutube,0.00
