"source","medium","campaign","lead_to_client_rate"
bing.com,organic,,100.00
telegram,cpp,base-java,88.89
vk,social,hexlet-blog,33.33
google,organic,,32.31
yandex,cpc,dod-frontend,30.00
yandex,cpc,dod-professions,28.57
yandex,cpc,base-professions-retarget,25.00
yandex,cpc,base-python,23.53
yandex,cpc,freemium,20.31
yandex,cpc,prof-professions-brand,16.67
yandex,cpc,dod-php,16.67
yandex,cpc,prof-frontend,16.30
organic,organic,,15.61
yandex,cpc,prof-python,14.29
yandex,cpc,prof-data-analytics,11.76
vk,cpc,freemium-frontend,10.34
vk,cpc,prof-python,10.29
admitad,cpa,admitad,10.00
vk,cpc,prof-data-analytics,8.77
yandex,cpc,prof-java,7.81
yandex,cpc,base-java,7.69
yandex,cpc,base-frontend,7.55
yandex,cpc,prof-professions-retarget,6.67
vk,cpc,freemium-python,6.38
vk,cpc,prof-java,5.36
vk,cpc,prof-frontend,4.00
vk,cpc,base-python,3.13
vc,cpp,dod-frontend,0.00
instagram,social,prof-qa-auto,0.00
telegram,cpp,dod-java,0.00
vk,cpm,prof-data-analytics,0.00
vk,cpp,dod-php,0.00
vk,social,base-java,0.00
telegram,cpp,dod-frontend,0.00
dzen,social,dzen_post,0.00
telegram,cpp,prof-java,0.00
telegram,cpp,dod-professions,0.00
vk-senler,cpc,freemium,0.00
yandex,cpc,dod-java,0.00
vc,cpp,dod-professions,0.00
telegram,cpp,prof-frontend,0.00
telegram,social,dod-professions,0.00
vk,social,all-courses,0.00
yandex,cpc,dod-python-java,0.00
vk,cpc,freemium-java,0.00
telegram,cpp,prof-python,0.00
vk,social,prof-python,0.00
