"utm_source","utm_medium","utm_campaign","monthly_cpl"
yandex,cpc,dod-python-java,1662.67
yandex,cpc,dod-php,1491.00
yandex,cpc,dod-frontend,1374.33
yandex,cpc,dod-professions,1239.67
yandex,cpc,prof-frontend,999.53
yandex,cpc,base-java,962.60
yandex,cpc,prof-python,829.16
yandex,cpc,prof-java,763.90
yandex,cpc,dod-java,726.50
yandex,cpc,prof-data-analytics,720.43
yandex,cpc,base-python,577.64
vk,cpc,prof-frontend,555.00
yandex,cpc,base-frontend,463.10
yandex,cpc,prof-professions-brand,445.69
vk,cpc,prof-java,365.52
yandex,cpc,freemium,216.54
vk,cpc,prof-data-analytics,203.00
yandex,cpc,base-professions-retarget,202.00
vk,cpc,freemium-java,200.92
vk,cpc,prof-python,184.05
yandex,cpc,prof-professions-retarget,171.40
vk,cpm,prof-data-analytics,127.00
vk,cpc,freemium-python,108.00
vk,cpc,base-python,97.83
vk,cpc,freemium-frontend,76.09
