"utm_source","utm_medium","utm_campaign","monthly_cpu"
yandex,cpc,dod-qa,67.5092592592592593
yandex,cpc,dod-php,50.1176470588235294
yandex,cpc,dod-python-java,30.6012269938650307
yandex,cpc,dod-professions,26.2826855123674912
yandex,cpc,prof-frontend,26.0035637918745545
yandex,cpc,base-frontend,23.2445302445302445
yandex,cpc,dod-java,19.3733333333333333
yandex,cpc,base-java,18.3177925784966698
yandex,cpc,prof-data-analytics,17.1822827938671210
yandex,cpc,prof-java,16.1619170984455959
yandex,cpc,prof-python,16.1439514842004469
yandex,cpc,base-python,15.6724806201550388
yandex,cpc,dod-frontend,12.4186746987951807
yandex,cpc,prof-professions-brand,7.0831295843520782
yandex,cpc,base-professions-retarget,6.8474576271186441
yandex,cpc,freemium,5.1717219966563172
vk,cpc,prof-frontend,4.7810480976310122
vk,cpm,prof-data-analytics,4.2333333333333333
vk,cpc,prof-java,4.1955922865013774
yandex,cpc,prof-professions-retarget,3.6939655172413793
vk,cpc,prof-data-analytics,3.3151878062057703
vk,cpc,freemium-java,2.9987562189054726
vk,cpc,prof-python,2.9530685920577617
vk,cpc,base-python,2.4289655172413793
vk,cpc,freemium-python,1.8776561493882807
vk,cpc,freemium-frontend,1.4067226890756303
