"source","medium","campaign","visitors_count"
google,organic,,99223
organic,organic,,31557
yandex,cpc,freemium,4214
yandex,cpc,prof-python,3153
yandex,cpc,prof-frontend,2824
vk,cpc,prof-python,2546
vk,cpc,freemium-frontend,2431
yandex,cpc,prof-java,2328
vk,cpc,prof-java,2214
vk,cpc,prof-data-analytics,1880
vk,cpc,freemium-java,1641
vk,cpc,freemium-python,1576
vk,cpc,base-python,1475
vk,cpc,prof-frontend,1421
admitad,cpa,admitad,1405
yandex,cpc,base-java,1057
yandex,cpc,base-python,1038
bing.com,organic,,938
yandex,cpc,prof-professions-brand,829
yandex,cpc,base-frontend,791
yandex,cpc,prof-data-analytics,590
tproger,cpc,dod-frontend,513
yandex,cpc,prof-professions-retarget,469
vk-senler,cpc,freemium,401
telegram,cpp,base-python,370
telegram,cpp,base-frontend,353
yandex,cpc,dod-frontend,339
yandex,cpc,dod-professions,284
telegram,social,hexlet-blog,217
telegram,cpp,base-java,204
vk,cpm,prof-data-analytics,181
yandex,cpc,dod-python-java,165
yandex,cpc,dod-java,152
timepad,cpp,base-frontend,146
telegram,cpp,prof-python,142
telegram,cpp,prof-java,134
yandex,cpc,dod-php,121
yandex,cpc,base-professions-retarget,118
yandex,cpc,dod-qa,108
baidu.com,organic,,73
yandex.com,organic,,66
vk-senler,cpc,base-python,62
vk,cpp,base-frontend,55
vk,social,base-python,55
telegram,social,dod-professions,52
vk,social,hexlet-blog,46
vk,cpm,prof-frontend,46
telegram,cpp,dod-java,41
vk,social,general,35
vk,social,all-courses,34
vk,social,base-java,30
vk,cpp,dod-python-java,29
telegram,cpp,prof-frontend,28
vk,social,prof-python,26
vk,social,dod-professions,24
vk,cpp,dod-frontend,24
vk,social,base-frontend,24
vk,cpp,dod-php,21
facebook,social,hexlet-blog,20
telegram,social,course_completed,20
zen,social,hexlet-blog,19
vk,cpp,base-java,18
telegram,cpp,dod-php,17
telegram,cpp,dod-frontend,16
go.mail.ru,organic,,15
vk-senler,cpc,dod-php,15
vk-senler,cpc,dod-professions,13
zen,social,promo,13
zen,social,prof-frontend,13
vk-senler,cpc,dod-frontend,12
google,cpc,frontend,11
zen,social,all-courses,10
twitter,social,hexlet-blog,10
instagram,social,base-frontend,10
telegram,social,promo,10
instagram,social,prof-frontend,9
vc,cpp,dod-frontend,9
telegram,cpp,dod-qa,9
vk,cpp,intensive-python,8
instagram,social,hexlet-blog,7
vk,cpc,freemium,7
dzen,social,dzen-post,7
vc,cpp,dod-professions,7
admitad,cpc,"183258",7
twitter,social,promo,7
zen,social,hexlet,7
twitter,social,devushki_v_it,7
instagram,social,all-courses,6
instagram,social,prof-qa-auto,6
search.ukr.net,organic,,6
telegram,cpm,java,6
vk,social,prof-frontend,6
vk,social,promo,6
instagram,social,prof-python,6
vk,cpm,base,5
vk,social,course_completed,5
instagram,social,prof-java,5
vk,cpc,frontend,5
vk,cpc,yaintern,5
vk,social,prof-rails,5
vkontakte,social,button-vk,5
instagram,social,prof-backend,4
twitter,social,course_completed,4
twitter.com,social,istorii-uspeha-nashih-uchenikov-i-vypuskni,4
vc,cpp,dod-php,4
dzen,social,dzen_post,4
vk,cpc,php,4
instagram,social,prof-data-analytics,4
instagram,social,prof-php,4
vk,social,dod-frontend,4
vk,social,dod-php,4
vk,social,hexlet.io/my,4
telegram,social,mdtruehaskell--funktsionalnyy-yazyk,4
instagram,social,prof-qa,4
facebook,cpc,freemium,4
facebook,cpc,python,4
zen,social,prof-backend,4
telegram,cpm,frontend,4
facebook,cpm,freemium-en,3
telegram,cpm,base_python,3
telegram,cpp,prof-data-analytics,3
vk,social,dod-java,3
tg,social,hostel,3
telegram,cpm,base,3
telegram,cpp,intensive-python,3
vk,social,hexlet,3
vk,social,dod-python-java,3
admitad,cpa,"442763",3
vk-senler,cpc,base-frontend,3
mytarget,cpc,freemium,3
podcast,social,all-courses,2
facebook,social,course_completed,2
instagram,social,base-pyton,2
rutube,social,all-courses,2
vc,cpp,dod-qa,2
facebook,social,how-to-sleep,2
slack,social,hexlet,2
telegram,social,,2
instagram,social,base-java,2
instagram,social,promo,2
telegram,cpm,base_java,2
twitter.com,social,buffer,2
google,cpc,freemium,2
twitter,social,grokaem_algoritmy,2
telegram.me,social,neobhodimyy-minimum-linux-dlya-produktivn,2
twitter,social,all-courses,2
telegram,cpm,python,2
admitad,cpc,"442763",2
vk,social,prof-qa,2
vk,social,prof-data-analytics,2
instagram,social,prof-rails,2
vk,social,planiruy-uchebu--fokusiruysya-na-protsesse,2
instagram,social,prof-fullstack,2
instagram,social,prof-data-analyst,2
vk,cpm,java,2
partners,cpm,all,2
vk,cpc,prof-php,2
partners,cpm,prof-data-analytics,2
botmother,tg,frontend,2
zen,social,prof-data-analytics,1
zen,social,prof-python,1
zen,social,zen_post,1
zen_from_telegram,social,,1
vk,cpc,dod-professions,1
Yandex,cpc,"03997128",1
Yandex,cpc,"06892634",1
Yandex,cpc,"08409986",1
Yandex,cpc,"16951197",1
Yandex,cpc,"39770358",1
Yandex,cpc,"42790821",1
Yandex,cpc,"52168119",1
Yandex,cpc,"55670133",1
Yandex,cpc,"59988739",1
Yandex,cpc,"67469241",1
Yandex,cpc,"67652027",1
Yandex,cpc,"73043444",1
Yandex,cpc,"74431025",1
Yandex,cpc,"77386453",1
Yandex,cpc,"80100720",1
Yandex,cpc,"81276251",1
Yandex,cpc,"87255026",1
Yandex,cpc,"93234055",1
Yandex,cpm,"01097402",1
Yandex,cpm,"14191988",1
Yandex,cpm,"25530592",1
Yandex,cpm,"84109871",1
Yandex,cpm,"94599791",1
facebook,cpc,freemium.ua-by,1
facebook,cpc,frontend,1
facebook,social,learn-to-program-at-30,1
facebook,social,my-sozdali-kurs-osnovy-redis-pro-rabot,1
facebook,social,vorchanie-dedushki-kak-ya-v-69-let-uchu-python,1
facebook.com,social,buffer,1
facebook.com,social,mozhno-li-ustroitsya-na-rabotu-posle-heks,1
instagram,social,base-php,1
instagram,social,base-python,1
instagram,social,taplink,1
mytarget,cpc,retarget,1
partners,cpc,prof-python,1
partners,cpm,prof-qa,1
podcast,social,interview,1
podcast,social,unpack,1
public,social,open_lectures23,1
slack,social,base_alg,1
social,youtube,chistie-funktsii,1
social,youtube,php-open-lesson-260321,1
telegram,cpp,base-php,1
telegram,cpp,dod-data-analytics,1
telegram,cpp,dod-professions,1
telegram,cpp,prof-php,1
telegram,cpp,prof-qa,1
telegram,social,"20-sovetov-dlya-buduschih-programmistov--ko",1
telegram,social,all-courses,1
telegram,social,analitik-dannyh,1
telegram,social,avtor-napisal-etu-zametku--kogda-odin-iz,1
telegram,social,base,1
telegram,social,base-frontend,1
telegram,social,base-java,1
telegram,social,base-python,1
telegram,social,glavnye-instrumenty--servisy-i-podhody,1
telegram,social,igry--kotorye-pomogut-praktikovatsya-v-p,1
telegram,social,kak-blagodarya-heksletu-ya-ustroilsya-v-epa,1
telegram,social,kak-gumanitariy-stal-bekend-razrabotchiko,1
telegram,social,kak-optimizirovat-tretiy-proekt-v-professii-python,1
telegram,social,kak_gumanitariyu_popast-v_it,1
telegram,social,mdtrue**razrabotchik-heksleta-andrey-m,1
telegram,social,mdtrue*chtenie-chuzhogo-koda--odin-iz-o,1
telegram,social,mdtrue*studenty-mnogih-onlayn-kursov-p,1
telegram,social,mdtruena-hekslete-poyavilsya-esche-odin-no,1
telegram,social,mdtruereshenie-zadach--horoshiy-sposob-z,1
telegram,social,mdtruevyrazitelnyy-javascript--arh,1
telegram,social,my-znaem-dovolno-mnogo-o-strukturah-dan,1
telegram,social,nachinayuschie-razrabotchiki-chasto-zaglyadyvayu,1
telegram,social,navernyaka-vy-slyshali-mnenie--chto-podhod,1
telegram,social,ni-dlya-kogo-ne-sekret--chto-iz-knig-mozhno,1
telegram,social,oshibki-pri-samostoyatelnoy-podgotovke-k-resheniyu-algoritmicheskih-zadach-na-intervyu,1
telegram,social,privet--menya-zovut-dasha--mne-26-let.-ya,1
telegram,social,prof-qa,1
telegram,social,rabotay-bez-oglyadki-na-ogranicheniya-kak,1
telegram,social,special,1
telegram,social,special-newyear23,1
telegram,social,studenty-heksleta-inogda-rasstraivayutsya,1
telegram,social,svitch--ochen-prostaya-konstruktsiya--kotor,1
telegram,social,typescript,1
telegram,social,u-nas-chasto-sprashivayut--kakie-knigi-nuzhn,1
telegram,social,uyazvimost-v-java-ugrozhaet-sotnyam-tysyach,1
telegram,social,webinars,1
telegram,social,zabluditsya-v-tryoh-sosnah--no-vyyti-k-zv,1
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,social,course_completed,1
telegram.me,social,"7-tipichnyh-oshibok-imenovaniya-peremennyh",1
telegram.me,social,kak-rabotaet-npm-install-i-npm-update-v,1
telegram.me,social,kakoy-yazyk-programmirovaniya-vybrat-dlya,1
telegram.me,social,klassicheskaya-zadachka-fizzbuzz-na-hekslet,1
telegram.me,social,kogda-to-ya-poobeschal-napisat-prodolzhenie,1
telegram.me,social,kognitivnye-iskazheniya-v-programmirovanii,1
telegram.me,social,lyubite-chitat-knigi--nash-marketolog-nata,1
telegram.me,social,na-hekslet-poyavilis-novye-ispytaniya-v-k,1
telegram.me,social,pochemu-funktsiya-vozvraschaet-rezultat--p,1
telegram.me,social,printsipy-programmirovaniya-heksletahttp,1
telegram.me,social,voshozhdenie-po-beskonechnoy-lestnitse-abst,1
