"week_of_june","utm_source","utm_medium","utm_campaign","cpl"
"1 неделя",yandex,cpc,dod-php,1491.00
"1 неделя",yandex,cpc,base-java,962.60
"1 неделя",yandex,cpc,dod-frontend,957.00
"1 неделя",yandex,cpc,prof-frontend,782.71
"1 неделя",yandex,cpc,dod-java,726.50
"1 неделя",yandex,cpc,prof-data-analytics,720.43
"1 неделя",yandex,cpc,prof-java,601.84
"1 неделя",yandex,cpc,prof-python,541.41
"1 неделя",yandex,cpc,base-frontend,463.10
"1 неделя",yandex,cpc,base-python,447.29
"1 неделя",yandex,cpc,prof-professions-brand,370.62
"1 неделя",yandex,cpc,freemium,216.54
"1 неделя",yandex,cpc,prof-professions-retarget,171.40
"1 неделя",vk,cpc,prof-java,135.43
"1 неделя",vk,cpc,prof-data-analytics,135.33
"1 неделя",vk,cpm,prof-data-analytics,127.00
"1 неделя",vk,cpc,prof-python,126.98
"1 неделя",vk,cpc,freemium-python,116.64
"1 неделя",vk,cpc,freemium-java,110.67
"1 неделя",vk,cpc,base-python,91.69
"1 неделя",vk,cpc,freemium-frontend,77.86
"1 неделя",yandex,cpc,base-professions-retarget,37.75
"2 неделя",vk,cpc,prof-frontend,5459.00
"2 неделя",vk,cpc,prof-java,4610.00
"2 неделя",vk,cpc,freemium-frontend,3170.00
"3 неделя",vk,cpc,prof-java,5469.00
"3 неделя",vk,cpc,prof-frontend,2729.00
"4 неделя",vk,cpc,freemium-python,2273.00
"5 неделя (2 дня)",vk,cpc,prof-frontend,2721.00
"5 неделя (2 дня)",vk,cpc,freemium-python,2101.00
