"source","medium","campaign","week_of_june","leads_count"
google,organic,,"1 неделя",285
organic,organic,,"1 неделя",42
yandex,cpc,freemium,"1 неделя",30
vk,cpc,freemium-frontend,"1 неделя",26
vk,cpc,base-python,"1 неделя",25
yandex,cpc,prof-python,"1 неделя",21
yandex,cpc,prof-frontend,"1 неделя",19
yandex,cpc,base-frontend,"1 неделя",16
vk,cpc,prof-data-analytics,"1 неделя",15
yandex,cpc,base-python,"1 неделя",14
vk,cpc,freemium-java,"1 неделя",13
vk,cpc,prof-python,"1 неделя",11
admitad,cpa,admitad,"1 неделя",11
vk,cpc,freemium-python,"1 неделя",10
yandex,cpc,prof-java,"1 неделя",10
vk,cpc,prof-java,"1 неделя",8
vk,social,dod-java,"1 неделя",4
yandex,cpc,dod-frontend,"1 неделя",4
vk,cpp,dod-php,"1 неделя",4
yandex,cpc,base-java,"1 неделя",4
vk,cpm,prof-data-analytics,"1 неделя",3
yandex,cpc,dod-php,"1 неделя",3
telegram,cpp,dod-java,"1 неделя",3
yandex,cpc,prof-professions-brand,"1 неделя",3
vk,social,base-java,"1 неделя",3
vk,social,hexlet.io/my,"1 неделя",2
yandex,cpc,prof-professions-retarget,"1 неделя",2
yandex,cpc,dod-java,"1 неделя",2
telegram,cpp,prof-python,"1 неделя",2
telegram,cpp,prof-java,"1 неделя",2
telegram,social,dod-professions,"1 неделя",1
zen,social,all-courses,"1 неделя",1
vk,social,dod-professions,"1 неделя",1
vc,cpp,dod-frontend,"1 неделя",1
vk-senler,cpc,freemium,"1 неделя",1
yandex,cpc,prof-data-analytics,"1 неделя",1
telegram,cpp,prof-frontend,"1 неделя",1
google,organic,,"2 неделя",186
organic,organic,,"2 неделя",59
yandex,cpc,freemium,"2 неделя",26
yandex,cpc,prof-frontend,"2 неделя",25
bing.com,organic,,"2 неделя",23
vk,cpc,freemium-java,"2 неделя",23
telegram,social,dod-professions,"2 неделя",21
yandex,cpc,prof-python,"2 неделя",19
vk,cpc,freemium-frontend,"2 неделя",17
yandex,cpc,prof-java,"2 неделя",17
yandex,cpc,base-frontend,"2 неделя",16
vk,cpc,prof-java,"2 неделя",14
vk,cpc,base-python,"2 неделя",13
vk,cpc,prof-python,"2 неделя",13
vk,cpc,prof-data-analytics,"2 неделя",13
vk,cpc,freemium-python,"2 неделя",11
yandex,cpc,base-python,"2 неделя",9
admitad,cpa,admitad,"2 неделя",8
yandex,cpc,prof-data-analytics,"2 неделя",7
vk,cpc,prof-frontend,"2 неделя",5
yandex,cpc,base-java,"2 неделя",5
vk-senler,cpc,dod-frontend,"2 неделя",5
yandex,cpc,prof-professions-retarget,"2 неделя",5
yandex,cpc,prof-professions-brand,"2 неделя",4
yandex,cpc,dod-frontend,"2 неделя",3
telegram,cpp,dod-java,"2 неделя",2
vk,cpm,prof-data-analytics,"2 неделя",2
yandex,cpc,base-professions-retarget,"2 неделя",2
telegram,social,hexlet-blog,"2 неделя",2
telegram,cpp,prof-python,"2 неделя",1
telegram,cpp,prof-java,"2 неделя",1
yandex,cpc,dod-php,"2 неделя",1
telegram,cpp,dod-frontend,"2 неделя",1
vk,social,hexlet-blog,"2 неделя",1
google,organic,,"3 неделя",270
organic,organic,,"3 неделя",69
yandex,cpc,freemium,"3 неделя",45
yandex,cpc,prof-frontend,"3 неделя",37
vk,cpc,freemium-frontend,"3 неделя",32
yandex,cpc,prof-python,"3 неделя",29
vk,cpc,prof-python,"3 неделя",27
yandex,cpc,prof-java,"3 неделя",24
vk,cpc,base-python,"3 неделя",20
vk,cpc,prof-java,"3 неделя",19
yandex,cpc,base-frontend,"3 неделя",15
vk,cpc,prof-data-analytics,"3 неделя",13
yandex,cpc,prof-professions-brand,"3 неделя",13
vk,cpc,freemium-python,"3 неделя",12
vk,cpc,freemium-java,"3 неделя",11
vk,cpc,prof-frontend,"3 неделя",11
yandex,cpc,base-java,"3 неделя",9
yandex,cpc,base-python,"3 неделя",8
yandex,cpc,prof-data-analytics,"3 неделя",6
telegram,social,dod-professions,"3 неделя",5
yandex,cpc,dod-frontend,"3 неделя",3
yandex,cpc,prof-professions-retarget,"3 неделя",3
vk,social,all-courses,"3 неделя",2
vc,cpp,dod-frontend,"3 неделя",2
telegram,cpp,dod-professions,"3 неделя",2
yandex,cpc,base-professions-retarget,"3 неделя",2
yandex,cpc,dod-java,"3 неделя",2
telegram,cpp,prof-python,"3 неделя",2
vk,cpm,prof-data-analytics,"3 неделя",2
yandex,cpc,dod-professions,"3 неделя",2
instagram,social,prof-qa-auto,"3 неделя",1
yandex,cpc,dod-python-java,"3 неделя",1
dzen,social,dzen_post,"3 неделя",1
vk,social,prof-python,"3 неделя",1
vc,cpp,dod-professions,"3 неделя",1
yandex,cpc,dod-php,"3 неделя",1
admitad,cpa,admitad,"3 неделя",1
telegram,social,hexlet-blog,"3 неделя",1
google,organic,,"4 неделя",92
organic,organic,,"4 неделя",50
yandex,cpc,freemium,"4 неделя",25
admitad,cpa,admitad,"4 неделя",19
yandex,cpc,prof-python,"4 неделя",15
vk,cpc,prof-python,"4 неделя",15
yandex,cpc,prof-frontend,"4 неделя",14
