"source","week_of_june","leads_count"
google,"1 неделя",285
yandex,"1 неделя",129
vk,"1 неделя",125
organic,"1 неделя",42
admitad,"1 неделя",11
telegram,"1 неделя",9
vc,"1 неделя",1
zen,"1 неделя",1
vk-senler,"1 неделя",1
google,"2 неделя",186
yandex,"2 неделя",139
vk,"2 неделя",112
organic,"2 неделя",59
telegram,"2 неделя",28
bing.com,"2 неделя",23
admitad,"2 неделя",8
vk-senler,"2 неделя",5
google,"3 неделя",270
yandex,"3 неделя",200
vk,"3 неделя",150
organic,"3 неделя",69
telegram,"3 неделя",10
vc,"3 неделя",3
instagram,"3 неделя",1
admitad,"3 неделя",1
dzen,"3 неделя",1
yandex,"4 неделя",107
google,"4 неделя",92
vk,"4 неделя",80
organic,"4 неделя",50
admitad,"4 неделя",19
telegram,"4 неделя",11
vk-senler,"4 неделя",2
vk,"5 неделя (2 дня)",24
yandex,"5 неделя (2 дня)",15
google,"5 неделя (2 дня)",9
organic,"5 неделя (2 дня)",5
telegram,"5 неделя (2 дня)",3
