"week_of_june","utm_source","utm_medium","utm_campaign","roi"
"1 неделя",yandex,cpc,base-professions-retarget,88707.95
"1 неделя",vk,cpc,freemium-frontend,9998.06
"1 неделя",yandex,cpc,freemium,7542.05
"1 неделя",vk,cpc,prof-java,7371.14
"1 неделя",vk,cpc,prof-python,6900.67
"1 неделя",yandex,cpc,base-python,3700.87
"1 неделя",yandex,cpc,prof-professions-brand,3102.30
"1 неделя",yandex,cpc,dod-php,2419.37
"1 неделя",yandex,cpc,prof-data-analytics,2083.86
"1 неделя",yandex,cpc,prof-python,1756.71
"1 неделя",yandex,cpc,prof-frontend,1749.91
"1 неделя",yandex,cpc,base-frontend,1386.71
"1 неделя",yandex,cpc,prof-java,865.04
"1 неделя",vk,cpc,base-python,174.83
"1 неделя",yandex,cpc,base-java,149.32
"1 неделя",vk,cpc,freemium-python,-46.50
"1 неделя",yandex,cpc,dod-java,
"1 неделя",yandex,cpc,dod-frontend,
"1 неделя",vk,cpm,prof-data-analytics,
"1 неделя",vk,cpc,prof-data-analytics,
"1 неделя",yandex,cpc,prof-professions-retarget,
"1 неделя",vk,cpc,freemium-java,
"2 неделя",yandex,cpc,base-professions-retarget,
"2 неделя",yandex,cpc,dod-frontend,
"2 неделя",yandex,cpc,dod-professions,
"2 неделя",yandex,cpc,dod-python-java,
"2 неделя",yandex,cpc,freemium,
"2 неделя",yandex,cpc,prof-data-analytics,
"2 неделя",yandex,cpc,prof-frontend,
"2 неделя",yandex,cpc,prof-java,
"2 неделя",yandex,cpc,prof-professions-brand,
"2 неделя",yandex,cpc,prof-professions-retarget,
"2 неделя",yandex,cpc,prof-python,
"2 неделя",vk,cpc,base-python,
"2 неделя",vk,cpc,freemium-frontend,
"2 неделя",vk,cpc,freemium-java,
"2 неделя",vk,cpc,freemium-python,
"2 неделя",vk,cpc,prof-data-analytics,
"2 неделя",vk,cpc,prof-frontend,
"2 неделя",vk,cpc,prof-java,
"2 неделя",vk,cpc,prof-python,
"2 неделя",vk,cpm,prof-data-analytics,
"2 неделя",yandex,cpc,base-frontend,
"3 неделя",yandex,cpc,prof-python,
"3 неделя",vk,cpc,freemium-frontend,
"3 неделя",vk,cpc,freemium-java,
"3 неделя",vk,cpc,freemium-python,
"3 неделя",vk,cpc,prof-data-analytics,
"3 неделя",vk,cpc,prof-frontend,
"3 неделя",vk,cpc,prof-java,
"3 неделя",vk,cpc,prof-python,
"3 неделя",yandex,cpc,base-java,
"3 неделя",yandex,cpc,base-python,
"3 неделя",yandex,cpc,dod-frontend,
"3 неделя",yandex,cpc,dod-professions,
"3 неделя",yandex,cpc,dod-python-java,
"3 неделя",yandex,cpc,freemium,
"3 неделя",yandex,cpc,prof-data-analytics,
"3 неделя",yandex,cpc,prof-frontend,
"3 неделя",yandex,cpc,prof-java,
"3 неделя",yandex,cpc,prof-professions-brand,
"3 неделя",yandex,cpc,prof-professions-retarget,
"4 неделя",vk,cpc,base-python,
"4 неделя",vk,cpc,freemium-frontend,
"4 неделя",vk,cpc,freemium-java,
"4 неделя",vk,cpc,freemium-python,
"4 неделя",vk,cpc,prof-data-analytics,
"4 неделя",vk,cpc,prof-frontend,
"4 неделя",vk,cpc,prof-java,
"4 неделя",vk,cpc,prof-python,
"4 неделя",yandex,cpc,base-java,
"4 неделя",yandex,cpc,base-python,
"4 неделя",yandex,cpc,dod-python-java,
"4 неделя",yandex,cpc,dod-qa,
"4 неделя",yandex,cpc,freemium,
"4 неделя",yandex,cpc,prof-data-analytics,
"4 неделя",yandex,cpc,prof-frontend,
"4 неделя",yandex,cpc,prof-java,
"4 неделя",yandex,cpc,prof-professions-brand,
"4 неделя",yandex,cpc,prof-professions-retarget,
"4 неделя",yandex,cpc,prof-python,
"5 неделя (2 дня)",vk,cpc,base-python,
"5 неделя (2 дня)",vk,cpc,freemium-frontend,
"5 неделя (2 дня)",vk,cpc,freemium-java,
"5 неделя (2 дня)",vk,cpc,freemium-python,
"5 неделя (2 дня)",vk,cpc,prof-frontend,
"5 неделя (2 дня)",vk,cpc,prof-java,
"5 неделя (2 дня)",vk,cpc,prof-python,
"5 неделя (2 дня)",yandex,cpc,base-frontend,
"5 неделя (2 дня)",yandex,cpc,base-java,
"5 неделя (2 дня)",yandex,cpc,base-professions-retarget,
"5 неделя (2 дня)",yandex,cpc,base-python,
"5 неделя (2 дня)",yandex,cpc,dod-qa,
"5 неделя (2 дня)",yandex,cpc,freemium,
"5 неделя (2 дня)",yandex,cpc,prof-frontend,
"5 неделя (2 дня)",yandex,cpc,prof-java,
"5 неделя (2 дня)",yandex,cpc,prof-professions-brand,
"5 неделя (2 дня)",yandex,cpc,prof-professions-retarget,
"5 неделя (2 дня)",yandex,cpc,prof-python,
