"source","medium","campaign","week_of_june","visitors_count"
google,organic,,"1 неделя",27385
organic,organic,,"1 неделя",8427
vk,cpc,prof-python,"1 неделя",1319
vk,cpc,freemium-frontend,"1 неделя",1308
vk,cpc,prof-java,"1 неделя",1203
vk,cpc,prof-data-analytics,"1 неделя",956
vk,cpc,freemium-java,"1 неделя",925
vk,cpc,freemium-python,"1 неделя",818
vk,cpc,base-python,"1 неделя",814
vk,cpc,prof-frontend,"1 неделя",700
tproger,cpc,dod-frontend,"1 неделя",496
admitad,cpa,admitad,"1 неделя",395
bing.com,organic,,"1 неделя",260
telegram,cpp,base-python,"1 неделя",194
telegram,cpp,base-frontend,"1 неделя",147
yandex,cpc,freemium,"1 неделя",130
telegram,cpp,base-java,"1 неделя",111
vk,cpm,prof-data-analytics,"1 неделя",110
vk-senler,cpc,freemium,"1 неделя",99
yandex,cpc,prof-frontend,"1 неделя",96
yandex,cpc,prof-python,"1 неделя",82
yandex,cpc,prof-java,"1 неделя",61
yandex,cpc,base-frontend,"1 неделя",54
yandex,cpc,base-python,"1 неделя",37
telegram,cpp,dod-java,"1 неделя",35
yandex,cpc,base-java,"1 неделя",26
yandex,cpc,prof-professions-brand,"1 неделя",24
yandex.com,organic,,"1 неделя",23
vk,cpm,prof-frontend,"1 неделя",22
baidu.com,organic,,"1 неделя",21
vk,cpp,dod-php,"1 неделя",20
vk,social,hexlet-blog,"1 неделя",19
vk,social,base-python,"1 неделя",17
vk,cpp,base-frontend,"1 неделя",17
telegram,cpp,prof-java,"1 неделя",17
yandex,cpc,prof-data-analytics,"1 неделя",17
telegram,cpp,prof-python,"1 неделя",16
yandex,cpc,prof-professions-retarget,"1 неделя",15
zen,social,hexlet-blog,"1 неделя",15
vk-senler,cpc,dod-php,"1 неделя",14
vk,social,base-java,"1 неделя",14
zen,social,promo,"1 неделя",13
telegram,social,course_completed,"1 неделя",13
telegram,cpp,dod-php,"1 неделя",12
vk,social,all-courses,"1 неделя",12
zen,social,prof-frontend,"1 неделя",12
telegram,cpp,prof-frontend,"1 неделя",10
yandex,cpc,dod-frontend,"1 неделя",10
vk,social,general,"1 неделя",9
google,cpc,frontend,"1 неделя",8
telegram,social,hexlet-blog,"1 неделя",8
yandex,cpc,dod-professions,"1 неделя",7
yandex,cpc,dod-java,"1 неделя",6
yandex,cpc,dod-php,"1 неделя",6
twitter,social,hexlet-blog,"1 неделя",6
vk,social,prof-frontend,"1 неделя",6
yandex,cpc,dod-python-java,"1 неделя",5
vk,cpc,freemium,"1 неделя",4
vk,social,prof-python,"1 неделя",4
vk,social,dod-php,"1 неделя",4
zen,social,prof-backend,"1 неделя",4
vc,cpp,dod-php,"1 неделя",4
vc,cpp,dod-frontend,"1 неделя",4
yandex,cpc,base-professions-retarget,"1 неделя",4
twitter,social,devushki_v_it,"1 неделя",3
vk,social,base-frontend,"1 неделя",3
twitter,social,promo,"1 неделя",3
telegram,social,promo,"1 неделя",3
vk,social,course_completed,"1 неделя",3
twitter,social,course_completed,"1 неделя",2
telegram,social,,"1 неделя",2
go.mail.ru,organic,,"1 неделя",2
vk,social,dod-professions,"1 неделя",2
vk,cpp,intensive-python,"1 неделя",2
botmother,tg,frontend,"1 неделя",2
telegram,cpp,intensive-python,"1 неделя",2
vk,social,hexlet.io/my,"1 неделя",2
admitad,cpc,"183258","1 неделя",2
instagram,social,hexlet-blog,"1 неделя",2
facebook,cpm,freemium-en,"1 неделя",2
vk,social,promo,"1 неделя",2
telegram,cpm,java,"1 неделя",2
search.ukr.net,organic,,"1 неделя",1
telegram,social,glavnye-instrumenty--servisy-i-podhody,"1 неделя",1
yandex-direct,cpc,"16645437","1 неделя",1
tg,social,newdirections,"1 неделя",1
