"source","week_of_june","visitors_count"
google,"1 неделя",27393
organic,"1 неделя",8427
vk,"1 неделя",8242
telegram,"1 неделя",586
tproger,"1 неделя",496
yandex,"1 неделя",469
admitad,"1 неделя",399
bing.com,"1 неделя",260
vk-senler,"1 неделя",116
zen,"1 неделя",45
yandex.com,"1 неделя",23
baidu.com,"1 неделя",21
twitter,"1 неделя",14
Yandex,"1 неделя",8
vc,"1 неделя",7
instagram,"1 неделя",7
facebook,"1 неделя",6
yandex-direct,"1 неделя",6
go.mail.ru,"1 неделя",2
botmother,"1 неделя",2
twitter.com,"1 неделя",2
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,"1 неделя",1
vkontakte,"1 неделя",1
vk.com,"1 неделя",1
dzen,"1 неделя",1
mytarget,"1 неделя",1
tg,"1 неделя",1
partners,"1 неделя",1
telegram.me,"1 неделя",1
slack,"1 неделя",1
podcast,"1 неделя",1
public,"1 неделя",1
search.ukr.net,"1 неделя",1
google,"2 неделя",27088
organic,"2 неделя",8926
vk,"2 неделя",6429
yandex,"2 неделя",1690
admitad,"2 неделя",358
telegram,"2 неделя",296
bing.com,"2 неделя",286
timepad,"2 неделя",136
vk-senler,"2 неделя",122
baidu.com,"2 неделя",29
tproger,"2 неделя",18
yandex.com,"2 неделя",14
facebook,"2 неделя",9
twitter,"2 неделя",9
vc,"2 неделя",8
zen,"2 неделя",7
go.mail.ru,"2 неделя",5
Yandex,"2 неделя",4
telegram.me,"2 неделя",3
search.ukr.net,"2 неделя",2
facebook.com,"2 неделя",2
instagram,"2 неделя",2
yandex-direct,"2 неделя",2
mytarget,"2 неделя",2
rutube,"2 неделя",1
tg,"2 неделя",1
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,"2 неделя",1
social,"2 неделя",1
dzen,"2 неделя",1
google,"3 неделя",24012
organic,"3 неделя",7960
yandex,"3 неделя",6970
vk,"3 неделя",486
admitad,"3 неделя",392
bing.com,"3 неделя",242
telegram,"3 неделя",196
vk-senler,"3 неделя",119
instagram,"3 неделя",43
yandex.com,"3 неделя",18
twitter,"3 неделя",16
Yandex,"3 неделя",10
zen,"3 неделя",10
baidu.com,"3 неделя",9
timepad,"3 неделя",8
yandex-direct,"3 неделя",6
dzen,"3 неделя",5
facebook,"3 неделя",5
twitter.com,"3 неделя",5
vc,"3 неделя",5
go.mail.ru,"3 неделя",4
vkontakte,"3 неделя",2
slack,"3 неделя",2
tg,"3 неделя",1
zen_from_telegram,"3 неделя",1
partners,"3 неделя",1
vk.com,"3 неделя",1
vk-group,"3 неделя",1
telegram Этот курс побеждён! 💪💪💪 Было круто! 🚀,"3 неделя",1
podcast,"3 неделя",1
search.ukr.net,"3 неделя",1
google,"4 неделя",28080
organic,"4 неделя",8357
yandex,"4 неделя",7338
vk,"4 неделя",588
telegram,"4 неделя",511
admitad,"4 неделя",431
bing.com,"4 неделя",228
vk-senler,"4 неделя",99
facebook,"4 неделя",18
yandex.com,"4 неделя",15
baidu.com,"4 неделя",13
twitter,"4 неделя",12
instagram,"4 неделя",10
zen,"4 неделя",9
timepad,"4 неделя",7
dzen,"4 неделя",5
yandex-direct,"4 неделя",3
partners,"4 неделя",3
go.mail.ru,"4 неделя",3
podcast,"4 неделя",2
tg,"4 неделя",2
search.ukr.net,"4 неделя",2
mytarget,"4 неделя",2
telegram.me,"4 неделя",2
Yandex,"4 неделя",2
vk-group,"4 неделя",1
zen_from_telegram,"4 неделя",1
vkontakte,"4 неделя",1
google,"5 неделя (2 дня)",6611
organic,"5 неделя (2 дня)",2101
yandex,"5 неделя (2 дня)",2002
telegram,"5 неделя (2 дня)",196
vk,"5 неделя (2 дня)",176
admitad,"5 неделя (2 дня)",129
vk-senler,"5 неделя (2 дня)",97
bing.com,"5 неделя (2 дня)",79
facebook,"5 неделя (2 дня)",5
yandex.com,"5 неделя (2 дня)",4
twitter,"5 неделя (2 дня)",3
instagram,"5 неделя (2 дня)",2
vc,"5 неделя (2 дня)",2
partners,"5 неделя (2 дня)",2
rutube,"5 неделя (2 дня)",1
social,"5 неделя (2 дня)",1
zen,"5 неделя (2 дня)",1
vkontakte,"5 неделя (2 дня)",1
tg,"5 неделя (2 дня)",1
timepad,"5 неделя (2 дня)",1
go.mail.ru,"5 неделя (2 дня)",1
telegram.me,"5 неделя (2 дня)",1
twitter.com,"5 неделя (2 дня)",1
baidu.com,"5 неделя (2 дня)",1
